MJD;Magnitude;Error;Facility;Filter;Observer
59613.38531253021;18.07512349407204;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59613.386608810164;19.755973113114454;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59613.386608810164;19.759941733071756;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59613.38803240983;19.493246129022438;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59613.38803240983;19.490057824771306;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59614.028407;19.603;0.247;ATLAS;ATLAS(c);ATLAS
59614.089801;19.676;0.296;ATLAS;ATLAS(c);ATLAS
59614.38504627021;16.493887139924368;0.20035535213901637;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59614.38504627021;17.86587842004072;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59614.38612269983;16.236328324073707;0.14828878419612626;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59614.38612269983;17.73828845165793;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59614.38741899002;19.60871621994937;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59614.38741899002;18.234540121676105;0.22333169287109603;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59614.38884257991;18.44847811082597;0.20320141704673883;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59614.38884257991;19.501345401201096;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59615.38563656993;16.766248137605732;0.18364338778749048;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59615.38563656993;18.098292423381835;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59615.386724560056;16.543947973151983;0.1518904433981948;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59615.386724560056;18.201202596677177;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59615.388009279966;18.209181265112726;0.13440433510049868;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59615.388009279966;19.956478824964826;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59615.38944444014;18.4081983267469;0.17411422349332703;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59615.38944444014;19.601937108960986;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59616.3864004598;18.26131213403364;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59616.3864004598;16.95072459957623;0.20122332320000721;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59616.38747682981;16.727004723242434;0.19588942756485972;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59616.388773169834;18.233803795943363;0.2114134913656907;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59616.388773169834;20.32009830881996;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59616.390196769964;19.591284719254695;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59616.390196769964;18.45787012553368;0.25706650590890234;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59617.39496529009;17.39984992241327;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59617.39496529009;17.394939350994008;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59617.396053229924;17.444404891726712;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59617.396053229924;17.43839081219961;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59617.397337940056;18.78097206693857;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59617.397337940056;18.774113471590226;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59617.39876159979;18.642815562856068;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59617.39876159979;18.63029014538685;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59617.954517;21.032;0.935;ATLAS;ATLAS(c);ATLAS
59617.970571;20.502;0.621;ATLAS;ATLAS(c);ATLAS
59618.396296290215;17.404963601108047;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59618.396296290215;16.272493552539576;0.20846933119283476;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59618.39738425985;17.20731373143539;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59618.39738425985;16.363397970879614;0.31542912058588807;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59618.39866896998;18.743031448709406;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59618.39866896998;18.734426933543723;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59618.400104159955;18.42767451881373;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59618.400104159955;18.41712308801318;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59619.3934837901;17.964842062825014;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59619.3934837901;17.957583337844987;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59619.39456018992;17.93157113571889;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59619.39456018992;17.932932985249526;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
